country_code,state,state_code,city_code,sdek_city_code,city
RU, ,,,24187,Алакуртти
RU, ,,,24198,Алешково
RU, ,,,24230,Алябьевский
RU, ,,,24226,Аминево
RU, ,,,24134,Арбаж
RU, ,,,24225,Афимьино
RU, ,,,24218,Башмаково
RU, ,,,24185,Бежецк
RU, ,,,24179,Бисерть
RU, ,,,24223,Большетархово
RU, ,,,24153,Валдай
RU, ,,,24151,Демянск
RU, ,,,24170,Железноводск
RU, ,,,24174,Забойский
RU, ,,,24196,Запрудное
RU, ,,,24139,Каменка
RU, ,,,24168,Касколовка
RU, ,,,24203,Катайга
RU, ,,,24201,Кедровый
RU, ,,,24227,Киверичи
RU, ,,,24228,Ковдор
RU, ,,,24216,Колпаковка
RU, ,,,24132,Константиновка
RU, ,,,24175,Крутиха
RU, ,,,24133,Лебяжье
RU, ,,,24169,Лесогорск
RU, ,,,24194,Лесозаводский
RU, ,,,24200,Лянтор
RU, ,,,24156,Малая вишера
RU, ,,,24177,Микулино
RU, ,,,24192,Морки
RU, ,,,24217,Мулловка
RU, ,,,24205,Мусультемахи
RU, ,,,24140,Назия
RU, ,,,24186,Нижние осельки
RU, ,,,24178,Новобатайск
RU, ,,,24164,Новолеушковская
RU, ,,,24183,Новороговская
RU, ,,,24220,Паша
RU, ,,,24181,Первомайский
RU, ,,,24158,Пестово
RU, ,,,24149,Петрунино
RU, ,,,24167,Пильшино
RU, ,,,24166,Плотниково
RU, ,,,24147,Понежукай
RU, ,,,24197,Работки
RU, ,,,24141,Редкино
RU, ,,,24219,Рождественское
RU, ,,,24150,Санатория нагорное
RU, ,,,24193,Сараса
RU, ,,,24180,Северо-Енисейск
RU, ,,,24209,Середа
RU, ,,,24161,Сланцы
RU, ,,,24210,Старая Дуваново
RU, ,,,24171,Старолеушковская
RU, ,,,24182,Староминская
RU, ,,,24191,Тенеево
RU, ,,,24189,Тимофеево
RU, ,,,24176,Троицкое
RU, ,,,24190,Урма
RU, ,,,24188,Черная речка
RU, ,,,24136,Шайдуровский
RU, ,,,24135,Шафраново
RU, ,,,24172,Шкуринская
RU,Адыгея ,AD,,16630,17 Лет Октября
RU,Адыгея ,AD,,16418,Абадзехская
RU,Адыгея ,AD,,16713,Адамий
RU,Адыгея ,AD,,1588,Адыгейск
RU,Адыгея ,AD,,16608,Ассоколай
RU,Адыгея ,AD,,1590,Афипсип
RU,Адыгея ,AD,,16631,Безводная
RU,Адыгея ,AD,,16439,Белое
RU,Адыгея ,AD,,16591,Бжедугхабль
RU,Адыгея ,AD,,16444,Блечепсин
RU,Адыгея ,AD,,16714,Богурсуков
